cie	symbol	industry
Headwater Exploration Inc	http://finance.yahoo.com/q?s=HWX.TO	Energy
K92 Mining Inc	http://finance.yahoo.com/q?s=KNT.TO	Materials
Stelco Holdings Inc	http://finance.yahoo.com/q?s=STLC.TO	Materials
Primaris Real Estate Investment 	http://finance.yahoo.com/q?s=PMZ.UN.TO	Real Estate
Mag Silver Corp	http://finance.yahoo.com/q?s=MAG.TO	Materials
Precision Drilling Corp	http://finance.yahoo.com/q?s=PD.TO	Energy
Novagold Resources Inc	http://finance.yahoo.com/q?s=NG.TO	Materials
Torex Gold Resources Inc	http://finance.yahoo.com/q?s=TXG.TO	Materials
Africa Oil Corp	http://finance.yahoo.com/q?s=AOI.TO	Energy
Mty Food Group Inc	http://finance.yahoo.com/q?s=MTY.TO	Consumer Discretionary
Enghouse Systems Ltd	http://finance.yahoo.com/q?s=ENGH.TO	Information Technology
Winpak Ltd	http://finance.yahoo.com/q?s=WPK.TO	Materials
Badger Infrastructure Solutions Lt	http://finance.yahoo.com/q?s=BDGI.TO	Industrials
International Petroleum Corp	http://finance.yahoo.com/q?s=IPCO.TO	Energy
Spin Master 	http://finance.yahoo.com/q?s=TOY.TO	Consumer Discretionary
Cogeco Communications 	http://finance.yahoo.com/q?s=CCA.TO	Communication
Mullen Group Ltd	http://finance.yahoo.com/q?s=MTL.TO	Industrials
Wesdome Gold Mines Ltd	http://finance.yahoo.com/q?s=WDO.TO	Materials
Pason Systems Inc	http://finance.yahoo.com/q?s=PSI.TO	Energy
Canfor Corp	http://finance.yahoo.com/q?s=CFP.TO	Materials
Interfor Corp	http://finance.yahoo.com/q?s=IFP.TO	Materials
Fortuna Silver Mines Inc	http://finance.yahoo.com/q?s=FVI.TO	Materials
Canada Goose Holdings 	http://finance.yahoo.com/q?s=GOOS.TO	Consumer Discretionary
Storagevault Canada Inc	http://finance.yahoo.com/q?s=SVI.TO	Real Estate
Ct Reit Units Trust	http://finance.yahoo.com/q?s=CRT.UN.TO	Real Estate
Jamieson Wellness Inc	http://finance.yahoo.com/q?s=JWEL.TO	Consumer Staples
Westshore Terminals Investment Corp	http://finance.yahoo.com/q?s=WTE.TO	Industrials
Brookfield Business Partners 	http://finance.yahoo.com/q?s=BBU.UN.TO	Industrials
Seabridge Gold Inc	http://finance.yahoo.com/q?s=SEA.TO	Materials
Algoma Steel Group Inc	http://finance.yahoo.com/q?s=ASTL.TO	Materials
Sprott Inc	http://finance.yahoo.com/q?s=SII.TO	Financials
Transcontinental	http://finance.yahoo.com/q?s=TCL.A.TO	Materials
Silvercrest Metals Inc	http://finance.yahoo.com/q?s=SIL.TO	Materials
Dye And Durham Ltd	http://finance.yahoo.com/q?s=DND.TO	Information Technology
Pet Valu Holdings Ltd	http://finance.yahoo.com/q?s=PET.TO	Consumer Discretionary
Sienna Senior Living Inc	http://finance.yahoo.com/q?s=SIA.TO	Health Care
Telus International 	http://finance.yahoo.com/q?s=TIXT.TO	Industrials
Sleep Country Canada Holdings Inc	http://finance.yahoo.com/q?s=ZZZ.TO	Consumer Discretionary
Osisko Mining Inc	http://finance.yahoo.com/q?s=OSK.TO	Materials
Park Lawn Corp	http://finance.yahoo.com/q?s=PLC.TO	Consumer Discretionary
Endeavour Silver Corp	http://finance.yahoo.com/q?s=EDR.TO	Materials
Spartan Delta Corp	http://finance.yahoo.com/q?s=SDE.TO	Energy
Constellation Software Inc	http://finance.yahoo.com/q?s=CSU.TO	Information Technology
